nombre,Cedula,codigoRuta,nombreRuta,codigoRamal,nombreRamal,mes,anho,carreras,Origen
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),2,2025,56.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),3,2025,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),4,2025,59.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),5,2025,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),6,2025,60.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),7,2025,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),8,2024,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),8,2025,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),9,2024,60.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),9,2025,60.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),10,2024,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),11,2024,60.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),12,2024,62.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2019,230.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2020,227.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2021,133.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2022,145.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2023,115.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2024,116.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,1,2025,58.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2019,209.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2020,204.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2021,131.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2022,132.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2023,104.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2024,108.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,2,2025,52.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2019,227.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2020,182.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2021,164.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2022,147.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2023,116.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2024,108.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,3,2025,57.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2019,209.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2020,92.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2021,152.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2022,130.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2023,107.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2024,112.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,4,2025,55.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,5,2019,228.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,5,2020,140.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0581,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,5,2021,135.0,SIR
